acc,val_acc,type,sigma,lambda,n1,n2,n3,n4,sp1,sp2,sp3,sp4
0.9995873015873015,0.9713809524339343,type1,0.0001,0.000421,691.0,400.0,300.0,100.0,0.15248193027210885,0.005263888888888883,0.005588888888888903,0.005666666666666671
0.9999523809523808,0.976936507838113,type1,0.0001,0.0008320000000000001,630.0,359.6666666666667,275.6666666666667,94.0,0.5353210034013606,0.16090555555555558,0.12461111111111116,0.06400000000000002
0.9999761904761902,0.9755873016856965,type1,0.0001,0.0012439999999999999,621.0,362.6666666666667,267.6666666666667,93.33333333333333,0.651109693877551,0.26193611111111115,0.17768888888888887,0.07066666666666666
0.9997301587301587,0.9743650796526954,type1,0.0001,0.001655,655.0,230.66666666666666,239.66666666666666,94.0,0.7346014030612245,0.6314,0.2430444444444444,0.06133333333333335
0.9995952380952381,0.9738571427133348,type1,0.0001,0.002066,646.0,179.0,233.33333333333334,91.33333333333333,0.79125106292517,0.6945,0.29633333333333334,0.0873333333333333
0.9993333333333334,0.9731111109067522,type1,0.0001,0.002477,657.6666666666666,144.0,212.66666666666666,92.0,0.8144153911564626,0.7497916666666667,0.3496333333333333,0.08066666666666662
0.9989603174603175,0.972476190400502,type1,0.0001,0.002888,639.0,111.0,208.0,91.33333333333333,0.8491666666666667,0.7883166666666667,0.37270000000000003,0.08699999999999997
0.9978968253968253,0.972365079471043,type1,0.0001,0.0032990000000000003,647.6666666666666,102.0,203.33333333333334,92.33333333333333,0.866295705782313,0.8251166666666667,0.38397777777777775,0.07799999999999996
0.9974761904761905,0.9719523806193519,type1,0.0001,0.003711,649.6666666666666,89.0,198.0,90.0,0.8810937500000001,0.8345805555555557,0.41641111111111107,0.10166666666666664
0.9966507936507935,0.9711111113306075,type1,0.0001,0.003915999999999999,659.6666666666666,88.66666666666667,190.33333333333334,91.33333333333333,0.8720227465986395,0.8402,0.41641111111111107,0.08833333333333333
0.9962619047619047,0.970444444853162,type1,0.0001,0.004122,655.6666666666666,90.33333333333333,178.0,91.0,0.8832376700680271,0.8479666666666666,0.45927777777777773,0.09066666666666667
0.9962857142857141,0.9712857137786018,type1,0.0001,0.004533,640.0,65.66666666666667,162.33333333333334,91.66666666666667,0.9096290391156462,0.8814638888888888,0.52,0.084
0.9956349206349205,0.9717777780729625,type1,0.0001,0.004944,652.3333333333334,64.33333333333333,165.33333333333334,93.0,0.9080474064625851,0.8729833333333333,0.5000222222222223,0.07133333333333332
0.993095238095238,0.9712857141494751,type1,0.0001,0.0053549999999999995,675.0,59.0,159.66666666666666,93.33333333333333,0.910110544217687,0.8810416666666666,0.5025666666666667,0.06766666666666668
0.9931269841269842,0.9722539680571783,type1,0.0001,0.005767,670.6666666666666,54.333333333333336,147.66666666666666,92.66666666666667,0.9152923044217687,0.8851555555555555,0.5356666666666666,0.07433333333333332
0.9954761904761904,0.973603174338265,type1,0.0001,0.006178,649.0,51.0,139.33333333333334,93.0,0.9257940051020408,0.8930666666666666,0.5689444444444444,0.07133333333333336
0.9935634920634918,0.9719523808085729,type1,0.0001,0.006589,648.3333333333334,46.666666666666664,136.33333333333334,92.33333333333333,0.932217261904762,0.9051861111111111,0.5902222222222222,0.07666666666666666
0.9926984126984126,0.9707301585333687,type1,0.0001,0.006999999999999999,655.0,49.666666666666664,129.66666666666666,89.33333333333333,0.9268399234693878,0.8995527777777778,0.6215666666666667,0.10699999999999998
0.9938968253968254,0.9728888889948527,type1,0.0001,0.007411,648.6666666666666,47.0,125.66666666666667,92.66666666666667,0.933047406462585,0.9068555555555555,0.6204888888888889,0.07433333333333332
0.9917142857142859,0.9715396825094071,type1,0.0001,0.007821999999999999,645.6666666666666,47.0,124.33333333333333,90.33333333333333,0.9326530612244897,0.9128277777777778,0.6379222222222222,0.09799999999999998
0.9813412698412698,0.9641746034697881,type1,0.0001,0.015635,651.3333333333334,32.333333333333336,86.33333333333333,87.33333333333333,0.9535746173469387,0.9363916666666667,0.7480888888888888,0.127
0.9664523809523807,0.9539365081711421,type1,0.0001,0.03126,651.6666666666666,22.333333333333332,53.0,87.0,0.967313988095238,0.9539583333333334,0.8415222222222223,0.13066666666666668
0.9481349206349207,0.9373650790850321,type1,0.0001,0.06250900000000001,652.0,17.333333333333332,37.0,84.66666666666667,0.9753039965986394,0.9662333333333333,0.8916000000000001,0.154
0.8978571428571428,0.8906031745956057,type1,0.0001,0.12500899999999998,659.6666666666666,6.666666666666667,25.0,76.0,0.989720450680272,0.9873500000000001,0.9218333333333334,0.24033333333333337
0.11273015873015872,0.112730158741512,type1,0.0001,0.25000700000000003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.11288888888888889,0.11288888901377482,type1,0.0001,0.500005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.9999920634920635,0.9768571425241137,type1,0.0003,0.000421,658.0,391.0,269.3333333333333,93.33333333333333,0.41569196428571425,0.15960833333333332,0.17226666666666665,0.07466666666666666
